1000,
0,135
0,146
0,117
0,24
0,148
0,72
0,77
1,113
1,94
1,142
1,103
1,142
1,77
1,162
1,195
1,176
1,106
2,179
2,12
2,53
2,111
2,137
2,4
3,39
3,0
3,9
3,144
4,87
4,74
4,193
4,41
4,116
4,184
5,86
5,50
5,104
5,18
5,152
5,185
6,88
6,29
7,105
7,99
7,135
7,137
8,36
8,119
8,127
8,128
9,32
9,190
9,164
9,100
9,35
10,89
10,1
10,43
10,68
10,97
11,62
11,35
11,94
11,101
11,130
12,144
13,96
13,60
13,191
13,25
13,29
13,44
14,182
14,40
14,80
14,128
14,69
14,196
14,4
14,108
14,186
15,68
15,198
15,157
15,121
16,43
16,184
17,182
17,144
17,186
17,99
17,198
17,78
17,163
18,168
18,33
19,84
19,77
20,162
20,155
20,142
20,141
20,145
20,116
20,151
20,54
20,125
20,149
21,158
21,175
21,97
21,113
21,147
21,51
22,187
22,26
22,142
22,45
22,154
23,42
23,127
23,43
23,14
23,166
23,81
24,98
24,146
24,115
24,200
24,125
25,46
25,28
25,71
25,155
25,157
25,74
25,142
25,100
26,45
26,63
26,91
27,0
27,74
27,83
27,142
27,134
27,99
27,56
28,197
28,15
28,143
28,186
28,19
28,98
29,169
29,56
29,129
29,138
29,43
29,102
29,117
29,191
29,5
29,125
30,62
30,95
30,31
30,32
30,40
30,90
31,141
31,71
31,161
31,197
32,101
32,139
32,32
32,120
33,114
33,177
33,30
33,88
34,61
34,10
34,51
34,62
35,115
35,36
35,154
36,21
36,163
36,104
36,132
36,70
36,61
36,63
36,42
36,170
37,60
38,131
38,108
38,115
38,5
38,99
39,34
39,188
39,69
39,0
39,17
40,46
40,80
40,19
40,93
40,136
40,145
40,142
41,166
42,91
42,143
42,114
42,39
42,15
43,196
43,126
43,162
43,163
43,98
43,84
44,31
44,153
44,48
44,155
44,6
44,126
44,11
45,88
45,78
45,35
45,184
46,52
46,57
46,104
46,118
46,79
47,152
47,19
47,27
47,82
48,103
48,82
48,34
48,101
48,131
48,115
48,18
48,51
49,180
50,8
50,193
50,197
50,173
51,17
51,59
51,126
51,111
51,151
51,89
51,88
52,143
52,45
52,119
52,150
53,186
53,181
53,171
53,64
53,31
53,33
54,154
54,26
54,70
54,100
55,151
55,81
55,173
55,35
55,53
55,125
56,86
56,77
57,75
57,63
57,29
57,121
57,110
57,15
57,178
57,127
57,170
58,182
58,193
58,143
58,185
58,178
59,143
60,39
60,64
60,15
60,131
60,145
60,144
61,19
61,71
61,103
61,173
61,16
61,190
61,32
61,73
